User ID,First Name,Middle Name,Last Name,Gender,Organiztaion,Birthdate,Salary Base,HSA Annual Credits,HSA Optional,HSA Remaining
3010,Jacky,Bobbie,Titus,male,TCCAC,1979-01-01,50000.0,100.0,,100.0
3009,Katrina,Bria,Cheyanne,Male,TCCAC,1979-01-01,63444.0,350.0,,350.0
3008,Ava,Veda,Lavina,Female,TCCAC,1979-01-01,102200.0,500.0,,500.0
3007,Estevan,Kirk,Faustino,Male,TCCAC,1979-01-01,58000.0,1000.0,,1000.0
3006,Branson,Sadye,Ellen,Female,TCCAC,1979-01-01,60000.0,3000.0,,3000.0
3005,Abbigail,Andreanne,Jensen,Male,TCCAC,1979-01-01,50000.0,6500.0,,6500.0
3004,Giovani,Diego,Jayne,Female,TCCAC,1979-01-01,63444.0,6000.0,,6000.0
3003,Ivah,Ludie,Dawn,Male,TCCAC,1979-01-01,102200.0,4500.0,,4500.0
3002,Viviane,Rosa,Keeley,Female,TCCAC,1979-01-01,58000.0,3000.0,,3000.0
3001,Milo,Jan,Judge,Male,TCCAC,1979-01-01,60000.0,1500.0,,1500.0
